ADCRef50v,Battery-1,Battery-2,Battery-3,Battery-4,CRC8
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.36,12.46,0.01,0.01,190
4.54,4.37,12.45,0.01,0.01,247
4.53,4.37,12.45,0.01,0.01,57
4.54,4.37,12.45,0.01,0.01,247
4.54,4.36,12.45,0.01,0.01,216
4.54,4.37,12.45,0.01,0.01,247
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.45,0.01,0.01,247
4.53,4.37,12.45,0.01,0.01,57
4.53,4.37,12.45,0.01,0.01,57
4.53,4.37,12.45,0.01,0.01,57
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.45,0.01,0.01,57
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.45,0.01,0.01,57
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.45,0.01,0.01,57
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.45,0.01,0.01,247
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.45,0.01,0.01,247
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.45,0.01,0.01,247
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.44,0.01,0.01,34
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.44,0.01,0.01,34
4.54,4.37,12.45,0.01,0.01,247
