Battery-1,Battery-2,Battery-3,Battery-4
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.42,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.42,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.42,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.42,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.42,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.42,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.72,0.01,0.01
6.44,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.73,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.70,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.70,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.72,0.01,0.01
6.42,12.70,0.01,0.01
6.41,12.70,0.01,0.01
6.41,12.72,0.01,0.01
6.41,12.70,0.01,0.01
6.41,12.72,0.01,0.01
6.41,12.72,0.01,0.01
6.41,12.72,0.01,0.01
6.41,12.72,0.01,0.01
6.41,12.70,0.01,0.01
6.41,12.72,0.01,0.01
6.41,12.72,0.01,0.01
6.41,12.70,0.01,0.01
6.41,12.72,0.01,0.01
6.40,12.72,0.01,0.01
6.40,12.70,0.01,0.01
6.40,12.70,0.01,0.01
6.40,12.70,0.01,0.01
6.40,12.70,0.01,0.01
6.40,12.70,0.01,0.01
6.40,12.72,0.01,0.01
6.38,12.70,0.01,0.01
6.38,12.70,0.01,0.01
6.38,12.70,0.01,0.01
6.37,12.72,0.01,0.01
6.37,12.70,0.01,0.01
6.37,12.70,0.01,0.01
6.40,12.70,0.01,0.01
6.35,12.70,0.01,0.01
6.25,12.70,0.01,0.01
6.17,12.70,0.01,0.01
6.11,12.70,0.01,0.01
5.94,12.70,0.01,0.01
